IdLandkreis,Meldedatum,AnzahlFall,AnzahlGenesen,AnzahlFall>59,Landkreis,Bevölkerung gesamt,Ü65%,Ausländer%,Bevölkerungsdichte EW/km²,Temperatur,BIPK,Bgast,Bgesund,afd21,GoogleCorona,GoogleUrlaub,7dInzidenz,7dInzidenzFall>59,AnzahlFall>59%,AnzahlGenesenLandkreis,AnzahlGenesenLandkreis%,leavehome,dist,trvl,gastr,mskÖPVN,mskÖFF,shppngTW,shppngGANZ,hcutTW,hcutGANZ,ess_shpsTW,schoolTW,daycareTW,1to5friends,churchTW,churchGANZ,personen_erst_kumulativ,personen_voll_kumulativ,7dInzidenzFUTURE,AnzahlFallFUTURE,BgastP,BgesundP,Gsaison
8237,2020-11-28,140,134,43,LK Freudenstadt,118599,0.21350095700638286,0.12494303893605171,136,6.95,39.755815816322226,2761,5996,7.018,31,21,118.04484017571818,36.25662948254202,0.30714285714285716,1442,0.012158618538098973,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0.0,0.0,146.71287278982115,174,0.023280128837511276,0.05055691869240044,1
8237,2020-12-05,174,167,55,LK Freudenstadt,118599,0.21350095700638286,0.12494303893605171,136,5.07,39.755815816322226,2761,5996,7.018,48,21,146.71287278982115,46.37475864046071,0.3160919540229885,1609,0.013566724845909324,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0.0,0.0,274.875842123458,326,0.023280128837511276,0.05055691869240044,1
8237,2020-12-12,326,307,118,LK Freudenstadt,118599,0.21350095700638286,0.12494303893605171,136,5.07,39.755815816322226,2761,5996,7.018,52,26,274.875842123458,99.4949367195339,0.3619631901840491,1916,0.01615527955547686,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0.0,0.0,251.26687408831438,298,0.023280128837511276,0.05055691869240044,1
8237,2020-12-19,298,289,85,LK Freudenstadt,118599,0.21350095700638286,0.12494303893605171,136,5.07,39.755815816322226,2761,5996,7.018,40,24,251.26687408831438,71.67008153525747,0.28523489932885904,2205,0.018592062327675612,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0.0,0.0,185.49903456184285,220,0.023280128837511276,0.05055691869240044,1
8237,2020-12-26,220,215,50,LK Freudenstadt,118599,0.21350095700638286,0.12494303893605171,136,5.07,39.755815816322226,2761,5996,7.018,34,29,185.49903456184285,42.15887149132792,0.22727272727272727,2420,0.020404893801802715,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0.0,0.0,114.39530306343892,136,0.023280128837511276,0.05055691869240044,1
8237,2021-01-02,136,130,44,LK Freudenstadt,118886,0.21703144188550377,0.12494303893605171,136,2.42,39.659842201773124,2761,5996,7.018,48,32,114.39530306343892,37.01024510875965,0.3235294117647059,2550,0.0214491193243948,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0.0032366262751314647,1.2679589006524115e-05,150.56440623790857,179,0.023223928805746683,0.050434870380027925,1
8237,2021-01-09,179,168,59,LK Freudenstadt,118886,0.21703144188550377,0.12494303893605171,136,2.42,39.659842201773124,2761,5996,7.018,34,24,150.56440623790857,49.62737412310954,0.329608938547486,2718,0.022862237774001985,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0.007623608859847297,1.7180723710346704e-05,142.15298689500867,169,0.023223928805746683,0.050434870380027925,1
8237,2021-01-16,169,162,55,LK Freudenstadt,118886,0.21703144188550377,0.12494303893605171,136,2.42,39.659842201773124,2761,5996,7.018,37,24,142.15298689500867,46.26280638594956,0.3254437869822485,2880,0.02422488770755177,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,0.013845824650740005,4.601425238337471e-05,79.90848375754925,95,0.023223928805746683,0.050434870380027925,1
8237,2021-01-23,95,91,32,LK Freudenstadt,118886,0.21703144188550377,0.12494303893605171,136,2.42,39.659842201773124,2761,5996,7.018,29,27,79.90848375754925,26.916541897279746,0.3368421052631579,2971,0.024990326867755666,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,0.018942828401773148,0.0028279542863326756,57.19765153171946,68,0.023223928805746683,0.050434870380027925,1
8237,2021-01-30,68,62,17,LK Freudenstadt,118886,0.21703144188550377,0.12494303893605171,136,2.42,39.659842201773124,2761,5996,7.018,27,28,57.19765153171946,14.299412882929865,0.25,3033,0.02551183486701546,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,0.022725178456857724,0.006664879107282432,31.122251568729705,37,0.023223928805746683,0.050434870380027925,1
8237,2021-02-06,37,36,12,LK Freudenstadt,118886,0.21703144188550377,0.12494303893605171,136,5.21,39.659842201773124,2761,5996,7.018,33,23,31.122251568729705,10.093703211479905,0.32432432432432434,3069,0.025814645963359858,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0.027282917615934484,0.011987429106829931,32.80453543730969,39,0.023223928805746683,0.050434870380027925,1
8237,2021-02-13,39,38,11,LK Freudenstadt,118886,0.21703144188550377,0.12494303893605171,136,5.21,39.659842201773124,2761,5996,7.018,27,25,32.80453543730969,9.252561277189912,0.28205128205128205,3107,0.026134279898390053,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0.03238669097804738,0.01696610196648486,25.234258028699763,30,0.023223928805746683,0.050434870380027925,1
8237,2021-02-20,30,29,5,LK Freudenstadt,118886,0.21703144188550377,0.12494303893605171,136,5.21,39.659842201773124,2761,5996,7.018,29,29,25.234258028699763,4.20570967144996,0.16666666666666666,3136,0.02637821105933415,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0.038975026916666135,0.0209098959034397,40.37481284591962,48,0.023223928805746683,0.050434870380027925,1
8237,2021-02-27,48,44,18,LK Freudenstadt,118886,0.21703144188550377,0.12494303893605171,136,5.21,39.659842201773124,2761,5996,7.018,38,27,40.37481284591962,15.140554817219858,0.375,3180,0.02674831351042175,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0.048002774895817835,0.025293081775063182,41.21595478020961,49,0.023223928805746683,0.050434870380027925,1
8237,2021-03-06,49,48,16,LK Freudenstadt,118886,0.21703144188550377,0.12494303893605171,136,6.73,39.659842201773124,2761,5996,7.018,34,28,41.21595478020961,13.458270948639873,0.32653061224489793,3228,0.027152061638880946,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0.06102078475958293,0.029720061180091496,112.71301919485894,134,0.023223928805746683,0.050434870380027925,1
8237,2021-03-13,134,131,11,LK Freudenstadt,118886,0.21703144188550377,0.12494303893605171,136,6.73,39.659842201773124,2761,5996,7.018,36,32,112.71301919485894,9.252561277189912,0.08208955223880597,3359,0.028253957572800834,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0.0773117403991931,0.034345054694039964,104.30159985195901,124,0.023223928805746683,0.050434870380027925,1
8237,2021-03-20,124,116,18,LK Freudenstadt,118886,0.21703144188550377,0.12494303893605171,136,6.73,39.659842201773124,2761,5996,7.018,36,32,104.30159985195901,15.140554817219858,0.14516129032258066,3475,0.029229682216577225,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0.08921206001318725,0.039729295311663464,111.87187726056894,133,0.023223928805746683,0.050434870380027925,1
8311,2020-02-29,1,1,0,SK Freiburg i.Breisgau,235180,0.16676162939025427,0.16999169648252566,1511,7.68,50.6378093375287,4478,32658,4.773,31,49,0.42520622501913424,0.0,0.0,1,4.252062250191343e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.700824900076537,4,0.01904073475635683,0.13886384896674886,1
